country,country_name,year,gdp_per_capita
BE,Belgium,2010,33330
BE,Belgium,2011,34060
BE,Belgium,2012,34770
BE,Belgium,2013,35210
BE,Belgium,2014,35950
BE,Belgium,2015,36960
BE,Belgium,2016,37960
BE,Belgium,2017,39120
BE,Belgium,2018,40260
BE,Belgium,2019,41660
BE,Belgium,2020,39910
BE,Belgium,2021,43820
BE,Belgium,2022,47430
BG,Bulgaria,2010,5080
BG,Bulgaria,2011,5640
BG,Bulgaria,2012,5780
BG,Bulgaria,2013,5790
BG,Bulgaria,2014,5960
BG,Bulgaria,2015,6380
BG,Bulgaria,2016,6840
BG,Bulgaria,2017,7420
BG,Bulgaria,2018,8000
BG,Bulgaria,2019,8820
BG,Bulgaria,2020,8880
BG,Bulgaria,2021,10330
BG,Bulgaria,2022,13270
CZ,Czechia,2010,15020
CZ,Czechia,2011,15740
CZ,Czechia,2012,15470
CZ,Czechia,2013,15170
CZ,Czechia,2014,15000
CZ,Czechia,2015,16080
CZ,Czechia,2016,16790
CZ,Czechia,2017,18330
CZ,Czechia,2018,19850
CZ,Czechia,2019,21150
CZ,Czechia,2020,20170
CZ,Czechia,2021,22270
CZ,Czechia,2022,25850
DK,Denmark,2010,43840
DK,Denmark,2011,44500
DK,Denmark,2012,45530
DK,Denmark,2013,46100
DK,Denmark,2014,47090
DK,Denmark,2015,48050
DK,Denmark,2016,49420
DK,Denmark,2017,51140
DK,Denmark,2018,52180
DK,Denmark,2019,53210
DK,Denmark,2020,53410
DK,Denmark,2021,58590
DK,Denmark,2022,64450
DE,Germany,2010,31940
DE,Germany,2011,33550
DE,Germany,2012,34130
DE,Germany,2013,34860
DE,Germany,2014,36150
DE,Germany,2015,37050
DE,Germany,2016,38070
DE,Germany,2017,39530
DE,Germany,2018,40590
DE,Germany,2019,41810
DE,Germany,2020,40930
DE,Germany,2021,43480
DE,Germany,2022,46260
EE,Estonia,2010,11060
EE,Estonia,2011,12540
EE,Estonia,2012,13520
EE,Estonia,2013,14320
EE,Estonia,2014,15240
EE,Estonia,2015,15710
EE,Estonia,2016,16530
EE,Estonia,2017,18120
EE,Estonia,2018,19660
EE,Estonia,2019,21100
EE,Estonia,2020,20640
EE,Estonia,2021,23430
EE,Estonia,2022,27040
IE,Ireland,2010,36710
IE,Ireland,2011,37530
IE,Ireland,2012,38110
IE,Ireland,2013,38810
IE,Ireland,2014,42010
IE,Ireland,2015,56120
IE,Ireland,2016,56800
IE,Ireland,2017,62160
IE,Ireland,2018,67370
IE,Ireland,2019,72320
IE,Ireland,2020,75350
IE,Ireland,2021,86490
IE,Ireland,2022,98990
EL,Greece,2010,20150
EL,Greece,2011,18310
EL,Greece,2012,17060
EL,Greece,2013,16410
EL,Greece,2014,16270
EL,Greece,2015,16300
EL,Greece,2016,16190
EL,Greece,2017,16450
EL,Greece,2018,16730
EL,Greece,2019,17100
EL,Greece,2020,15420
EL,Greece,2021,17060
EL,Greece,2022,19550
ES,Spain,2010,23040
ES,Spain,2011,22760
ES,Spain,2012,22050
ES,Spain,2013,21910
ES,Spain,2014,22230
ES,Spain,2015,23230
ES,Spain,2016,23990
ES,Spain,2017,24980
ES,Spain,2018,25760
ES,Spain,2019,26440
ES,Spain,2020,23630
ES,Spain,2021,25820
ES,Spain,2022,28280
FR,France,2010,30690
FR,France,2011,31510
FR,France,2012,31820
FR,France,2013,32080
FR,France,2014,32420
FR,France,2015,33020
FR,France,2016,33430
FR,France,2017,34230
FR,France,2018,35040
FR,France,2019,35980
FR,France,2020,34080
FR,France,2021,36670
FR,France,2022,38550
HR,Croatia,2010,10670
HR,Croatia,2011,10660
HR,Croatia,2012,10470
HR,Croatia,2013,10470
HR,Croatia,2014,10410
HR,Croatia,2015,10780
HR,Croatia,2016,11370
HR,Croatia,2017,12130
HR,Croatia,2018,12930
HR,Croatia,2019,13710
HR,Croatia,2020,12490
HR,Croatia,2021,14770
HR,Croatia,2022,17400
IT,Italy,2010,26940
IT,Italy,2011,27470
IT,Italy,2012,26990
IT,Italy,2013,26740
IT,Italy,2014,26980
IT,Italy,2015,27480
IT,Italy,2016,28210
IT,Italy,2017,28940
IT,Italy,2018,29580
IT,Italy,2019,30080
IT,Italy,2020,27950
IT,Italy,2021,30820
IT,Italy,2022,33020
CY,Cyprus,2010,23460
CY,Cyprus,2011,23340
CY,Cyprus,2012,22570
CY,Cyprus,2013,20930
CY,Cyprus,2014,20510
CY,Cyprus,2015,21170
CY,Cyprus,2016,22330
CY,Cyprus,2017,23630
CY,Cyprus,2018,24910
CY,Cyprus,2019,26280
CY,Cyprus,2020,24760
CY,Cyprus,2021,27690
CY,Cyprus,2022,30430
LV,Latvia,2010,8550
